            IoIT   EoA   EoI   IMG   PEOU   VIS   SQR     SR    LS   PPC    PS   WEI
PPC.PPC3   0.000 0.000 0.000 0.000  0.000 0.000 0.000  0.000 0.000 0.754 0.000 0.000
PPC.PPC4   0.000 0.000 0.000 0.000  0.000 0.000 0.000  0.000 0.000 0.788 0.000 0.000
PPC.PPC5   0.000 0.000 0.000 0.000  0.000 0.000 0.000  0.000 0.000 0.747 0.000 0.000
PPC.PPC6   0.000 0.000 0.000 0.000  0.000 0.000 0.000  0.000 0.000 0.782 0.000 0.000
PS.PS1     0.000 0.000 0.000 0.000  0.000 0.000 0.000  0.000 0.000 0.000 0.812 0.000
PS.PS2     0.000 0.000 0.000 0.000  0.000 0.000 0.000  0.000 0.000 0.000 0.808 0.000
PS.PS3     0.000 0.000 0.000 0.000  0.000 0.000 0.000  0.000 0.000 0.000 0.810 0.000
PS.PS4     0.000 0.000 0.000 0.000  0.000 0.000 0.000  0.000 0.000 0.000 0.774 0.000
PS.PS5     0.000 0.000 0.000 0.000  0.000 0.000 0.000  0.000 0.000 0.000 0.791 0.000
PS.PS6     0.000 0.000 0.000 0.000  0.000 0.000 0.000  0.000 0.000 0.000 0.777 0.000
PS.PS7     0.000 0.000 0.000 0.000  0.000 0.000 0.000  0.000 0.000 0.000 0.801 0.000
PS.PS8     0.000 0.000 0.000 0.000  0.000 0.000 0.000  0.000 0.000 0.000 0.777 0.000
PS.PS9     0.000 0.000 0.000 0.000  0.000 0.000 0.000  0.000 0.000 0.000 0.810 0.000
PS.PS10    0.000 0.000 0.000 0.000  0.000 0.000 0.000  0.000 0.000 0.000 0.738 0.000
PS.PS11    0.000 0.000 0.000 0.000  0.000 0.000 0.000  0.000 0.000 0.000 0.783 0.000
WEI.WEI1   0.000 0.000 0.000 0.000  0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.764
WEI.WEI2   0.000 0.000 0.000 0.000  0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.738
WEI.WEI3   0.000 0.000 0.000 0.000  0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.784
WEI.WEI4   0.000 0.000 0.000 0.000  0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.781
WEI.WEI5   0.000 0.000 0.000 0.000  0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.785
WEI.WEI6   0.000 0.000 0.000 0.000  0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.755
WEI.WEI7   0.000 0.000 0.000 0.000  0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.790
WEI.WEI8   0.000 0.000 0.000 0.000  0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.794
